trip_distance,pickup_hour,pickup_weekday,passenger_count,PULocationID,DOLocationID,trip_duration,is_tip_generous
1.2,0,2,1.0,41,24,20.516666666666666,0
3.4,0,2,1.0,95,197,13.416666666666666,1
2.8,0,2,1.0,237,137,8.983333333333333,0
2.6,0,2,0.0,68,142,10.0,0
1.44,0,2,1.0,263,74,5.033333333333333,1
2.93,0,2,1.0,75,170,8.55,0
6.86,0,2,1.0,141,243,12.283333333333333,1
1.19,0,2,1.0,137,68,7.316666666666666,0
11.3,0,2,1.0,229,185,18.816666666666666,0
3.68,0,2,1.0,140,226,11.583333333333334,1
1.4,0,2,1.0,249,4,8.65,1
0.55,0,2,3.0,236,263,2.716666666666667,0
0.85,0,2,3.0,68,246,5.25,0
7.32,0,2,3.0,48,223,30.016666666666666,0
4.37,0,2,1.0,75,224,8.283333333333333,0
4.55,0,2,1.0,137,74,10.6,0
9.9,0,2,1.0,137,61,24.983333333333334,0
3.7,0,2,1.0,161,4,11.25,0
2.94,0,2,1.0,132,10,6.716666666666667,0
1.39,0,2,1.0,141,142,7.233333333333333,0
3.7,0,2,1.0,137,66,9.666666666666666,0
2.8,0,2,2.0,238,41,14.266666666666667,0
2.08,0,2,1.0,141,74,4.816666666666666,0
1.54,0,2,1.0,48,170,5.583333333333333,0
1.27,0,2,3.0,140,262,5.083333333333333,0
1.8,0,2,2.0,140,233,9.183333333333334,0
6.09,0,2,2.0,107,41,16.283333333333335,0
3.27,0,2,1.0,137,226,10.783333333333333,1
9.26,0,2,1.0,140,36,29.95,0
1.7,0,2,2.0,48,68,5.233333333333333,0
0.3,0,2,1.0,143,142,2.0166666666666666,1
4.0,0,2,1.0,68,238,11.633333333333333,0
1.08,0,2,1.0,186,161,3.466666666666667,1
7.1,0,2,1.0,48,129,20.783333333333335,0
0.36,0,2,1.0,129,173,2.716666666666667,0
1.25,0,2,1.0,140,262,4.383333333333334,1
0.7,0,2,1.0,68,164,4.25,0
0.7,0,2,1.0,90,68,1.8,1
2.78,0,2,1.0,140,137,6.033333333333333,1
1.34,0,2,1.0,137,100,5.75,0
2.9,0,2,1.0,229,226,6.716666666666667,0
16.0,0,2,2.0,114,227,63.55,0
0.6,0,2,1.0,161,48,2.8833333333333333,0
1.5,0,2,1.0,234,249,8.016666666666667,0
1.0,0,2,1.0,41,43,4.9,0
1.69,0,2,2.0,239,230,4.25,0
2.0,0,2,2.0,48,238,7.85,0
0.68,0,2,1.0,68,90,4.0,0
1.05,0,2,1.0,234,100,4.033333333333333,0
0.4,0,2,0.0,151,151,1.4666666666666666,0
1.4,0,2,1.0,166,238,5.266666666666667,0
1.4,0,2,1.0,238,142,7.466666666666667,1
0.5,0,2,1.0,239,142,2.183333333333333,0
3.3,0,2,1.0,143,41,9.0,0
2.54,0,2,1.0,137,112,8.716666666666667,1
1.7,0,2,1.0,137,140,4.466666666666667,0
11.58,0,2,1.0,140,18,18.733333333333334,0
7.33,0,2,1.0,186,168,17.55,0
2.32,0,2,1.0,140,75,6.883333333333334,1
1.18,0,2,1.0,137,170,4.233333333333333,1
7.82,0,2,1.0,186,129,18.616666666666667,0
7.14,0,2,1.0,129,164,17.066666666666666,0
1.65,0,2,1.0,164,68,5.3,0
2.4,0,2,1.0,50,141,7.233333333333333,0
1.8,0,2,1.0,90,170,5.25,0
2.8,0,2,1.0,233,263,6.55,1
1.54,0,2,1.0,263,239,6.333333333333333,1
2.5,0,2,1.0,107,141,6.183333333333334,1
2.6,0,2,1.0,140,238,9.216666666666667,0
5.36,0,2,1.0,107,239,25.6,0
0.13,0,2,1.0,151,151,0.9666666666666667,0
1.5,0,2,1.0,74,42,5.6,0
2.4,0,2,1.0,42,159,6.85,0
1.9,0,2,1.0,168,74,5.55,0
5.9,0,2,1.0,132,28,7.216666666666667,0
7.5,0,2,1.0,137,167,17.55,0
4.36,0,2,1.0,238,246,11.666666666666666,1
3.12,0,2,1.0,238,186,11.616666666666667,0
0.53,0,2,1.0,75,75,1.3,0
23.97,0,2,1.0,90,64,46.46666666666667,0
2.5,0,2,1.0,41,42,9.9,0
0.5,0,2,2.0,42,42,2.033333333333333,0
11.4,0,2,1.0,234,243,19.45,0
0.9,0,2,0.0,239,238,4.85,0
1.9,0,2,1.0,48,234,8.6,0
4.77,0,2,1.0,132,139,12.083333333333334,0
3.25,0,2,1.0,107,236,7.516666666666667,0
1.12,0,2,1.0,79,4,5.733333333333333,1
0.57,0,2,1.0,68,100,2.7666666666666666,0
5.78,0,2,1.0,137,166,18.716666666666665,0
5.3,0,2,1.0,48,7,16.75,0
11.73,0,2,1.0,132,138,17.2,1
0.7,0,2,1.0,107,137,2.05,0
2.2,0,2,1.0,140,75,6.416666666666667,0
8.17,0,2,2.0,107,167,18.3,0
